jān,jñāna
jānnā,jānāti
jānā,yāti
jāp,jalpa
jāpā,jātatva
jām,janman
jām-,yamyate
jāyzā,jāʾiza
jāyphal,jātiphala
jāyā,jāta
jār,jāra
jārnā,jvālayati
jāl,jāla
jālnā,jvālayati
jālā,jālaka
jāliyā,jālika
jālī,jālikā
jāvitrī,jātipattrī
jāhī,jātī
jī,jīva
ji,jīva
jīnā,jīvati
jībh,jihvā
jīrā,jīraka
jīh,jihvā
juāṁ,yūka
juā,yuga
jua,dyūta
junhrī,yavanāla
junhār,yavanāla
juvār,yugadhāra
juvārā,yugadhāra
jūṁ,yūkā
jūjhnā,yudhyate
jūṭhā,juṣṭa
jūṛā,jūṭa
jūt,yukta
jūtā,yuktaka
jūn,jūrṇa
jūn,yoni
jūnā,yūna
jūlā,yugala
jūs,yūṣa
jūhī,yūthikā
jeṁvan,jemana
jeṁvnā,jemati
jeṭh,jyeṣṭha
jeṭh,jyaiṣṭha
jeṭhā,jyeṣṭha
jer,jarayu
jaisā,yādr̥śa
jo,ya
jo,yataḥ
joī,yuvati
jokhim,yogakṣema
jot,yoktra
jotnā,yoktrayati
jotī,yoktra
joban,yauvana
jolī,yugala
joṣī,jyautiṣika
jau,yava
jvār,yavākāra
jhaṁkār,jhaṅkāra
jhajjhar,jharjhara
jhaṛ-,jhāṭa
jhankār,jhanaṭkāra
jhanjhanānā,jhaṇajhaṇāyate
jharnā,jharaṇa
jhal,jhalā
jhāṁī,jhāmaka
jhāṁvāṁ,jhāmaka
jhāū,jhāvu
jhājhar,jharjhara
jhāṛ,jhāṭa
jhāṛā,jhāṭa
jhāṛī,jhāṭa
jhālar,jhallarī
jhālar,jhallarī
jhālrī,jhallarī
jhauvā,jhāvu
ṭaṁknā,ṭaṅkati
ṭaṅkā,ṭaṅka
ṭaṅkār,ṭaṅkāra
ṭaksāl,ṭaṅkaśālā
ṭakā,ṭaṅka
ṭakuā,tarku
ṭakkar,ṭakkarā
ṭaṭihrī,ṭiṭṭibha
ṭar-,ṭarati
ṭalnā,ṭalati
ṭāṁknā,ṭaṅkati
ṭāṁkī,ṭaṅka
ṭāṁg,ṭaṅga
ṭāṁṛ,tandra
ṭāṁṛo,tandra
ṭālnā,ṭālayati
ṭiṇḍā,tinduka
ṭiṭihrī,ṭiṭṭibha
ṭiṭihā,ṭiṭṭibha
ṭūṭnā,truṭyati
ṭoṛī,troṭaka
ṭhaṇḍh,stabdha
ṭhaṇḍhā,stabdha
ṭhak,ṭhakk
